,timestamp,magnitude,depth,MMI_scale,lat,lon,location
244,2018/02/11 05:18:56,2.1,9,-,36.07 N ,129.32 E ,경북 포항시 북구 북서쪽 5km 지역
245,2018/02/11 05:14:05,2.2,10,-,36.08 N ,129.33 E ,경북 포항시 북구 북서쪽 5km 지역
246,2018/02/11 05:12:06,2.2,11,-,36.07 N ,129.34 E ,경북 포항시 북구 북서쪽 4km 지역
247,2018/02/11 05:07:23,2.5,12,-,36.08 N ,129.33 E ,경북 포항시 북구 북서쪽 5km 지역
248,2018/02/11 05:03:03,4.6,14,-,36.08 N ,129.33 E ,경북 포항시 북구 북서쪽 5km 지역
249,2018/02/10 01:32:38,2.4,10,-,36.60 N ,125.76 E ,충남 태안군 서격렬비도 동쪽 20km 해역
250,2018/02/09 00:43:45,2.5,-,-,33.92 N ,125.22 E ,전남 신안군 흑산면 남남서쪽 85km 해역
251,2018/02/08 09:56:49,2.7,9,-,35.10 N ,124.99 E ,전남 신안군 흑산면 북서쪽 67km 해역
252,2018/02/08 06:46:01,2.7,-,-,41.32 N ,129.09 E ,북한 함경북도 길주 북북서쪽 45km 지역
253,2018/02/06 19:53:53,2.6,-,-,41.33 N ,129.10 E ,북한 함경북도 길주 북북서쪽 46Km 지역
254,2018/02/06 09:18:33,2.5,12,-,36.08 N ,129.33 E ,경북 포항시 북구 북서쪽 5km 지역
255,2018/02/04 22:20:35,2.3,8,-,36.06 N ,129.31 E ,경북 포항시 북구 서북서쪽 5km 지역
256,2018/02/04 18:50:25,2.8,14,-,36.37 N ,127.62 E ,충북 옥천군 북북동쪽 8km 지역
257,2018/02/04 15:43:38,2.1,7,-,36.11 N ,129.36 E ,경북 포항시 북구 북쪽 8km 지역
258,2018/02/03 12:35:01,2.6,19,-,33.77 N ,127.40 E ,전남 여수시 거문도 남남동쪽 30km 해역
259,2018/02/03 11:12:18,2.0,6,-,36.14 N ,129.36 E ,경북 포항시 북구 북쪽 11km 지역
260,2018/02/02 12:21:12,2.9,9,-,36.12 N ,129.37 E ,경북 포항시 북구 북쪽 9km 지역
261,2018/01/28 20:07:06,3.2,6,-,40.24 N ,127.30 E ,북한 함경남도 장진 남남동쪽 16km 지역
262,2018/01/24 01:25:17,2.4,16,-,34.32 N ,127.32 E ,전남 여수시 거문도 북쪽 32km 해역
263,2018/01/10 18:42:59,2.0,20,-,36.26 N ,127.34 E ,대전 서구 남남서쪽 12km 지역
264,2018/01/09 16:17:51,2.1,20,-,33.98 N ,127.11 E ,전남 여수시 거문도 서남서쪽 19km 해역
265,2018/01/06 02:47:16,2.2,12,-,37.71 N ,125.94 E ,북한 인천 옹진군 연평도 동북동쪽 21km 해역
266,2018/01/01 19:11:53,2.0,8,-,36.11 N ,129.36 E ,경북 포항시 북구 북쪽 8km 지역
267,2018/01/01 18:35:01,2.1,-,-,38.33 N ,126.16 E ,북한 황해북도 평산 서쪽 20km 지역
268,2017/12/30 19:44:13,2.0,17,-,35.76 N ,129.17 E ,경북 경주시 남남서쪽 9km 지역
269,2017/12/29 17:40:22,2.1,10,-,36.11 N ,129.34 E ,경북 포항시 북구 북북서쪽 8km 지역
270,2017/12/27 19:42:44,2.3,8,-,36.11 N ,129.36 E ,경북 포항시 북구 북쪽 7km 지역
271,2017/12/27 19:27:45,2.8,8,-,36.11 N ,129.36 E ,경북 포항시 북구 북쪽 7km 지역
272,2017/12/26 04:05:46,2.2,7,-,36.14 N ,129.37 E ,경북 포항시 북구 북쪽 11km 지역
273,2017/12/25 16:32:02,2.1,8,-,36.11 N ,129.36 E ,경북 포항시 북구 북쪽 7km 지역
274,2017/12/25 16:19:22,3.5,10,-,36.11 N ,129.36 E ,경북 포항시 북구 북쪽 8km 지역
275,2017/12/22 12:35:29,2.2,-,-,39.31 N ,127.15 E ,북한 함경남도 고원 남남서쪽 15km 지역
276,2017/12/21 12:01:12,2.0,-,-,36.72 N ,128.01 E ,경북 문경시 북서쪽 21km 지역
277,2017/12/20 19:22:34,2.3,18,-,36.09 N ,125.64 E ,충남 태안군 서격렬비도 남쪽 57km 해역
278,2017/12/19 13:34:28,2.1,7,-,35.77 N ,129.42 E ,경북 경주시 동남동쪽 20km 지역
279,2017/12/12 10:06:04,2.5,-,-,38.32 N ,126.18 E ,북한 황해북도 평산 서쪽 19km 지역
280,2017/12/09 16:15:37,2.3,23,-,35.61 N ,129.99 E ,울산 동구 동북동쪽 54km 해역
281,2017/12/09 15:40:02,2.8,-,-,41.31 N ,129.11 E ,북한 함경북도 길주 북북서쪽 43km 지역
282,2017/12/09 15:13:35,3.0,16,-,41.32 N ,129.10 E ,북한 함경북도 길주 북북서쪽 45km 지역
283,2017/12/09 02:39:18,2.3,9,-,36.10 N ,129.35 E ,경북 포항시 북구 북북서쪽 7km 지역
284,2017/12/09 01:49:59,2.2,8,-,36.10 N ,129.35 E ,경북 포항시 북구 북북서쪽 7km 지역
285,2017/12/05 23:40:53,2.7,-,-,41.32 N ,129.13 E ,북한 함경북도 길주 북북서쪽 44km 지역
286,2017/12/05 21:19:32,2.1,11,-,36.02 N ,129.45 E ,경북 포항시 남구 동쪽 9km 해역
287,2017/12/04 21:55:47,2.5,21,-,33.42 N ,127.15 E ,제주 서귀포시 성산 동쪽 25km 해역
288,2017/12/03 01:13:47,2.1,13,-,36.75 N ,128.82 E ,경북 안동시 북북동쪽 22km 지역
289,2017/12/02 07:45:56,2.5,-,-,41.32 N ,129.20 E ,북한 함경북도 길주 북북서쪽 43km 지역
290,2017/12/01 16:23:48,2.7,8,-,33.24 N ,127.32 E ,제주 서귀포시 성산 동남동쪽 44km 해역
291,2017/12/01 08:03:26,2.4,7,-,36.10 N ,129.35 E ,경북 포항시 북구 북북서쪽 7km 지역
292,2017/11/26 03:13:48,2.9,-,-,36.69 N ,124.65 E ,충남 태안군 서격렬비도 서쪽 79km 해역
293,2017/11/25 14:10:41,2.3,8,-,36.11 N ,129.35 E ,경북 포항시 북구 북쪽 7km 지역
294,2017/11/25 12:51:11,2.0,8,-,36.10 N ,129.35 E ,경북 포항시 북구 북쪽 7km 지역
295,2017/11/24 21:27:25,2.3,13,-,34.05 N ,125.57 E ,전남 신안군 흑산면 남쪽 68km 해역
296,2017/11/24 01:17:27,2.3,8,-,36.11 N ,129.35 E ,경북 포항시 북구 북쪽 7km 지역
297,2017/11/24 00:29:56,2.6,-,-,37.23 N ,125.04 E ,인천 옹진군 연평도 남서쪽 76km 해역
298,2017/11/23 23:27:05,2.3,14,-,36.11 N ,129.37 E ,경북 포항시 북구 북쪽 8km 지역
299,2017/11/22 22:15:41,2.0,8,-,36.12 N ,129.35 E ,경북 포항시 북구 북쪽 9km 지역
300,2017/11/22 12:41:46,2.5,8,-,36.10 N ,129.35 E ,경북 포항시 북구 북북서쪽 6km 지역
301,2017/11/21 09:53:01,2.4,-,-,36.11 N ,129.33 E ,경북 포항시 북구 북북서쪽 8km 지역
302,2017/11/21 08:57:29,2.1,9,-,36.09 N ,129.34 E ,경북 포항시 북구 북북서쪽 5km 지역
303,2017/11/21 05:58:34,2.0,13,-,36.09 N ,129.35 E ,경북 포항시 북구 북쪽 6km 지역
304,2017/11/20 06:05:15,3.6,12,-,36.14 N ,129.36 E ,경북 포항시 북구 북쪽 11km 지역
305,2017/11/19 23:45:47,3.5,9,-,36.12 N ,129.36 E ,경북 포항시 북구 북쪽 9km 지역
306,2017/11/19 06:40:59,2.2,11,-,36.09 N ,129.34 E ,경북 포항시 북구 북북서쪽 6km 지역
307,2017/11/19 05:07:05,2.1,8,-,36.12 N ,129.38 E ,경북 포항시 북구 북쪽 9km 지역
