addrCd,csForCnt,csNatCnt,gungu,resNm,rnum,sido,yyymm
0,22,1757,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201203
0,3472,20586,서대문구,서대문형무소역사관,11,서울특별시,201203
0,0,30889,서대문구,서대문자연사박물관,12,서울특별시,201203
0,9705,12144,마포구,트릭아이미술관,13,서울특별시,201203
0,341,2657,서초구,헌릉ㆍ인릉,14,서울특별시,201203
0,4746,20797,강남구,선릉·정릉,15,서울특별시,201203
0,27841,401717,송파구,롯데월드,16,서울특별시,201203
0,61918,101738,종로구,창덕궁,1,서울특별시,201204
0,2439,16813,종로구,운현궁,2,서울특별시,201204
0,134279,336255,종로구,경복궁,3,서울특별시,201204
0,4553,75936,종로구,창경궁,4,서울특별시,201204
0,24327,27411,종로구,종묘,5,서울특별시,201204
0,12678,215851,용산구,국립중앙박물관,6,서울특별시,201204
0,2078,133570,종로구,서울역사박물관,7,서울특별시,201204
0,17003,66246,중구,덕수궁,8,서울특별시,201204
0,0,65663,중구,서울시립미술관 본관,9,서울특별시,201204
0,28,4126,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201204
0,3423,53840,서대문구,서대문형무소역사관,11,서울특별시,201204
0,0,30026,서대문구,서대문자연사박물관,12,서울특별시,201204
0,12132,9626,마포구,트릭아이미술관,13,서울특별시,201204
0,434,4695,서초구,헌릉ㆍ인릉,14,서울특별시,201204
0,7214,42458,강남구,선릉·정릉,15,서울특별시,201204
0,33524,509788,송파구,롯데월드,16,서울특별시,201204
0,65797,133635,종로구,창덕궁,1,서울특별시,201205
0,2631,24690,종로구,운현궁,2,서울특별시,201205
0,117936,481103,종로구,경복궁,3,서울특별시,201205
0,4117,80267,종로구,창경궁,4,서울특별시,201205
0,24439,27823,종로구,종묘,5,서울특별시,201205
0,15689,306757,용산구,국립중앙박물관,6,서울특별시,201205
0,2123,269387,종로구,서울역사박물관,7,서울특별시,201205
0,17252,89515,중구,덕수궁,8,서울특별시,201205
0,0,156643,중구,서울시립미술관 본관,9,서울특별시,201205
0,45,7100,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201205
0,5632,127886,서대문구,서대문형무소역사관,11,서울특별시,201205
0,0,23186,서대문구,서대문자연사박물관,12,서울특별시,201205
0,9398,12307,마포구,트릭아이미술관,13,서울특별시,201205
0,486,7436,서초구,헌릉ㆍ인릉,14,서울특별시,201205
0,8016,49540,강남구,선릉·정릉,15,서울특별시,201205
0,23966,504975,송파구,롯데월드,16,서울특별시,201205
0,57013,76116,종로구,창덕궁,1,서울특별시,201206
0,1856,17914,종로구,운현궁,2,서울특별시,201206
0,112631,224854,종로구,경복궁,3,서울특별시,201206
0,3319,47308,종로구,창경궁,4,서울특별시,201206
0,23566,16248,종로구,종묘,5,서울특별시,201206
0,16931,230204,용산구,국립중앙박물관,6,서울특별시,201206
0,1743,182096,종로구,서울역사박물관,7,서울특별시,201206
0,15057,69169,중구,덕수궁,8,서울특별시,201206
0,0,139584,중구,서울시립미술관 본관,9,서울특별시,201206
0,35,5086,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201206
0,3422,76369,서대문구,서대문형무소역사관,11,서울특별시,201206
0,0,33053,서대문구,서대문자연사박물관,12,서울특별시,201206
0,12082,10184,마포구,트릭아이미술관,13,서울특별시,201206
0,381,6406,서초구,헌릉ㆍ인릉,14,서울특별시,201206
0,6890,36509,강남구,선릉·정릉,15,서울특별시,201206
0,34373,421214,송파구,롯데월드,16,서울특별시,201206
0,50216,48983,종로구,창덕궁,1,서울특별시,201207
0,1916,10412,종로구,운현궁,2,서울특별시,201207
0,138101,193169,종로구,경복궁,3,서울특별시,201207
0,3350,26241,종로구,창경궁,4,서울특별시,201207
0,18653,12400,종로구,종묘,5,서울특별시,201207
0,20533,277935,용산구,국립중앙박물관,6,서울특별시,201207
0,2175,160020,종로구,서울역사박물관,7,서울특별시,201207
0,15909,43076,중구,덕수궁,8,서울특별시,201207
0,0,103733,중구,서울시립미술관 본관,9,서울특별시,201207
0,31,2031,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201207
0,5190,16839,서대문구,서대문형무소역사관,11,서울특별시,201207
0,0,31982,서대문구,서대문자연사박물관,12,서울특별시,201207
0,12279,16049,마포구,트릭아이미술관,13,서울특별시,201207
0,329,2111,서초구,헌릉ㆍ인릉,14,서울특별시,201207
0,5546,21715,강남구,선릉·정릉,15,서울특별시,201207
0,53359,486936,송파구,롯데월드,16,서울특별시,201207
0,52796,52876,종로구,창덕궁,1,서울특별시,201208
0,1999,9755,종로구,운현궁,2,서울특별시,201208
0,168712,202572,종로구,경복궁,3,서울특별시,201208
0,3565,26882,종로구,창경궁,4,서울특별시,201208
0,20343,12345,종로구,종묘,5,서울특별시,201208
0,20914,434529,용산구,국립중앙박물관,6,서울특별시,201208
0,2175,181507,종로구,서울역사박물관,7,서울특별시,201208
0,14081,45103,중구,덕수궁,8,서울특별시,201208
0,0,156966,중구,서울시립미술관 본관,9,서울특별시,201208
0,121,1714,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201208
0,8401,82241,서대문구,서대문형무소역사관,11,서울특별시,201208
0,0,43775,서대문구,서대문자연사박물관,12,서울특별시,201208
0,0,0,마포구,트릭아이미술관,13,서울특별시,201208
0,527,1593,서초구,헌릉ㆍ인릉,14,서울특별시,201208
0,4672,17434,강남구,선릉·정릉,15,서울특별시,201208
0,81427,594598,송파구,롯데월드,16,서울특별시,201208
0,52775,76660,종로구,창덕궁,1,서울특별시,201209
0,3209,34242,종로구,운현궁,2,서울특별시,201209
0,106412,296957,종로구,경복궁,3,서울특별시,201209
0,2736,42107,종로구,창경궁,4,서울특별시,201209
0,22209,13121,종로구,종묘,5,서울특별시,201209
0,13725,219211,용산구,국립중앙박물관,6,서울특별시,201209
0,1666,175273,종로구,서울역사박물관,7,서울특별시,201209
0,11711,49013,중구,덕수궁,8,서울특별시,201209
0,0,79396,중구,서울시립미술관 본관,9,서울특별시,201209
0,64,3278,노원구,태릉 ·  강릉 · 조선왕릉전시관,10,서울특별시,201209
0,6102,24364,서대문구,서대문형무소역사관,11,서울특별시,201209
0,0,21241,서대문구,서대문자연사박물관,12,서울특별시,201209
0,0,0,마포구,트릭아이미술관,13,서울특별시,201209
0,374,3848,서초구,헌릉ㆍ인릉,14,서울특별시,201209
